date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-05-09,50,Ozone,50,36,34,05/09/2001
2001-05-10,45,Ozone,45,37,38,05/10/2001
2001-05-11,44,Ozone,44,38,42,05/11/2001
2001-05-12,45,PM10,34,45,46,05/12/2001
2001-05-13,51,PM2.5,41,32,51,05/13/2001
2001-05-14,32,Ozone,32,18,37,05/14/2001
2001-05-15,34,Ozone,34,8,23,05/15/2001
2001-05-16,36,Ozone,36,8,10,05/16/2001
2001-05-17,38,Ozone,38,15,23,05/17/2001
2001-05-18,37,Ozone,37,18,37,05/18/2001
2001-05-19,51,PM2.5,40,19,51,05/19/2001
2001-05-20,34,Ozone,34,6,41,05/20/2001
2001-05-21,35,Ozone,35,19,31,05/21/2001
2001-05-22,34,Ozone,34,29,22,05/22/2001
2001-05-23,45,PM10,27,45,29,05/23/2001
2001-05-24,35,PM10,28,35,36,05/24/2001
2001-05-25,43,PM2.5,43,35,43,05/25/2001
2001-05-26,43,Ozone,43,26,36,05/26/2001
2001-05-27,39,Ozone,39,28,29,05/27/2001
2001-05-28,40,Ozone,40,13,23,05/28/2001
2001-05-29,40,Ozone,40,15,22,05/29/2001
2001-05-30,49,PM10,42,49,21,05/30/2001
2001-05-31,37,Ozone,37,26,21,05/31/2001
2001-06-01,33,Ozone,33,31,17,06/01/2001
2001-06-02,34,Ozone,34,14,13,06/02/2001
2001-06-03,23,Ozone,23,6,10,06/03/2001
2001-06-04,28,Ozone,28,7,9,06/04/2001
2001-06-05,31,Ozone,31,11,8,06/05/2001
2001-06-06,22,Ozone,22,10,8,06/06/2001
2001-06-07,38,Ozone,38,14,10,06/07/2001
2001-06-08,32,Ozone,32,15,13,06/08/2001
2001-06-09,31,Ozone,31,13,16,06/09/2001
2001-06-10,32,Ozone,32,8,13,06/10/2001
2001-06-11,29,Ozone,29,14,10,06/11/2001
2001-06-12,19,Ozone,19,6,8,06/12/2001
2001-06-13,22,Ozone,22,10,10,06/13/2001
2001-06-14,24,Ozone,24,9,12,06/14/2001
2001-06-15,23,Ozone,23,13,14,06/15/2001
2001-06-16,35,Ozone,35,9,13,06/16/2001
2001-06-17,40,Ozone,40,13,12,06/17/2001
2001-06-18,32,Ozone,32,9,12,06/18/2001
2001-06-19,27,Ozone,27,11,15,06/19/2001
2001-06-20,35,Ozone,35,19,18,06/20/2001
2001-06-21,33,Ozone,33,20,22,06/21/2001
2001-06-22,36,Ozone,36,27,18,06/22/2001
2001-06-23,35,Ozone,35,18,14,06/23/2001
2001-06-24,37,Ozone,37,13,11,06/24/2001
2001-06-25,27,Ozone,27,11,14,06/25/2001
2001-06-26,21,Ozone,21,19,17,06/26/2001
2001-06-27,20,PM2.5,17,17,20,06/27/2001
2001-06-28,21,Ozone,21,8,21,06/28/2001
2001-06-29,35,Ozone,35,11,22,06/29/2001
2001-06-30,30,Ozone,30,18,24,06/30/2001
2001-07-01,37,Ozone,37,11,26,07/01/2001
2001-07-02,48,Ozone,48,19,28,07/02/2001
2001-07-03,36,Ozone,36,31,30,07/03/2001
2001-07-04,33,Ozone,33,27,27,07/04/2001
