,date,date_wxstation,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMIN,wx_station,did_PRCP,did_SNOW
10720,2017-07-19,2017-07-19_east_glac,48.4472,-113.2236,0.0,0.0,81.0,45.0,east_glac,0,0
10721,2017-07-19,2017-07-19_many_glac,48.8,-113.67,0.0,0.0,80.0,43.0,many_glac,0,0
10722,2017-07-19,2017-07-19_st_mary,48.7375,-113.4305,0.0,0.0,81.0,41.0,st_mary,0,0
10723,2017-07-19,2017-07-19_west_glac,48.5002,-113.9847,0.0,0.0,84.0,46.0,west_glac,0,0
10724,2017-07-20,2017-07-20_east_glac,48.4472,-113.2236,0.0,0.0,82.0,46.0,east_glac,0,0
10725,2017-07-20,2017-07-20_many_glac,48.8,-113.67,0.0,0.0,80.0,44.0,many_glac,0,0
10726,2017-07-20,2017-07-20_st_mary,48.7375,-113.4305,0.0,0.0,82.0,42.0,st_mary,0,0
10727,2017-07-20,2017-07-20_west_glac,48.5002,-113.9847,0.0,0.0,84.0,48.0,west_glac,0,0
10728,2017-07-21,2017-07-21_east_glac,48.4472,-113.2236,0.0,0.0,84.0,45.0,east_glac,0,0
10729,2017-07-21,2017-07-21_many_glac,48.8,-113.67,0.0,0.0,74.0,56.0,many_glac,0,0
10730,2017-07-21,2017-07-21_st_mary,48.7375,-113.4305,0.0,0.0,74.0,58.0,st_mary,0,0
10731,2017-07-21,2017-07-21_west_glac,48.5002,-113.9847,0.0,0.0,83.0,51.0,west_glac,0,0
10732,2017-07-22,2017-07-22_east_glac,48.4472,-113.2236,0.0,0.0,77.0,46.0,east_glac,0,0
10733,2017-07-22,2017-07-22_many_glac,48.8,-113.67,0.0,0.0,79.0,52.0,many_glac,0,0
10734,2017-07-22,2017-07-22_st_mary,48.7375,-113.4305,0.0,0.0,80.0,49.0,st_mary,0,0
10735,2017-07-22,2017-07-22_west_glac,48.5002,-113.9847,0.0,0.0,81.0,49.0,west_glac,0,0
10736,2017-07-23,2017-07-23_east_glac,48.4472,-113.2236,0.0,0.0,81.0,48.0,east_glac,0,0
10737,2017-07-23,2017-07-23_many_glac,48.8,-113.67,0.0,0.0,82.0,55.0,many_glac,0,0
10738,2017-07-23,2017-07-23_st_mary,48.7375,-113.4305,0.0,0.0,85.0,48.0,st_mary,0,0
10739,2017-07-23,2017-07-23_west_glac,48.5002,-113.9847,0.0,0.0,87.0,50.0,west_glac,0,0
10740,2017-07-24,2017-07-24_east_glac,48.4472,-113.2236,0.0,0.0,86.0,46.0,east_glac,0,0
10741,2017-07-24,2017-07-24_many_glac,48.8,-113.67,0.0,0.0,80.0,48.0,many_glac,0,0
10742,2017-07-24,2017-07-24_st_mary,48.7375,-113.4305,0.0,0.0,82.0,46.0,st_mary,0,0
10743,2017-07-24,2017-07-24_west_glac,48.5002,-113.9847,0.0,0.0,89.0,51.0,west_glac,0,0
10744,2017-07-25,2017-07-25_east_glac,48.4472,-113.2236,0.0,0.0,83.0,40.0,east_glac,0,0
10745,2017-07-25,2017-07-25_many_glac,48.8,-113.67,0.0,0.0,80.0,42.0,many_glac,0,0
10746,2017-07-25,2017-07-25_st_mary,48.7375,-113.4305,0.0,0.0,82.0,37.0,st_mary,0,0
10747,2017-07-25,2017-07-25_west_glac,48.5002,-113.9847,0.0,0.0,86.0,58.0,west_glac,0,0
10748,2017-07-26,2017-07-26_east_glac,48.4472,-113.2236,0.0,0.0,78.0,44.0,east_glac,0,0
10749,2017-07-26,2017-07-26_many_glac,48.8,-113.67,0.0,0.0,83.0,43.0,many_glac,0,0
10750,2017-07-26,2017-07-26_st_mary,48.7375,-113.4305,0.0,0.0,86.0,41.0,st_mary,0,0
10751,2017-07-26,2017-07-26_west_glac,48.5002,-113.9847,0.0,0.0,87.0,47.0,west_glac,0,0
10752,2017-07-27,2017-07-27_east_glac,48.4472,-113.2236,0.0,0.0,87.0,50.0,east_glac,0,0
10753,2017-07-27,2017-07-27_many_glac,48.8,-113.67,0.0,0.0,85.0,51.0,many_glac,0,0
10754,2017-07-27,2017-07-27_st_mary,48.7375,-113.4305,0.0,0.0,85.0,46.0,st_mary,0,0
10755,2017-07-27,2017-07-27_west_glac,48.5002,-113.9847,0.0,0.0,89.0,50.0,west_glac,0,0
10756,2017-07-28,2017-07-28_east_glac,48.4472,-113.2236,0.0,0.0,85.0,53.0,east_glac,0,0
10757,2017-07-28,2017-07-28_many_glac,48.8,-113.67,0.0,0.0,83.0,56.0,many_glac,0,0
10758,2017-07-28,2017-07-28_st_mary,48.7375,-113.4305,0.0,0.0,84.0,52.0,st_mary,0,0
10759,2017-07-28,2017-07-28_west_glac,48.5002,-113.9847,0.0,0.0,88.0,51.0,west_glac,0,0
10760,2017-07-29,2017-07-29_east_glac,48.4472,-113.2236,0.0,0.0,86.0,52.0,east_glac,0,0
10761,2017-07-29,2017-07-29_many_glac,48.8,-113.67,0.0,0.0,86.0,53.0,many_glac,0,0
10762,2017-07-29,2017-07-29_st_mary,48.7375,-113.4305,0.0,0.0,87.0,50.0,st_mary,0,0
10763,2017-07-29,2017-07-29_west_glac,48.5002,-113.9847,0.0,0.0,89.0,49.0,west_glac,0,0
10764,2017-07-30,2017-07-30_east_glac,48.4472,-113.2236,0.0,0.0,88.0,49.0,east_glac,0,0
10765,2017-07-30,2017-07-30_many_glac,48.8,-113.67,0.0,0.0,87.0,53.0,many_glac,0,0
10766,2017-07-30,2017-07-30_st_mary,48.7375,-113.4305,0.0,0.0,87.0,48.0,st_mary,0,0
10767,2017-07-30,2017-07-30_west_glac,48.5002,-113.9847,0.0,0.0,90.0,48.0,west_glac,0,0
10768,2017-07-31,2017-07-31_east_glac,48.4472,-113.2236,0.0,0.0,89.0,45.0,east_glac,0,0
10769,2017-07-31,2017-07-31_many_glac,48.8,-113.67,0.0,0.0,86.0,48.0,many_glac,0,0
10770,2017-07-31,2017-07-31_st_mary,48.7375,-113.4305,0.0,0.0,88.0,46.0,st_mary,0,0
10771,2017-07-31,2017-07-31_west_glac,48.5002,-113.9847,0.0,0.0,90.0,47.0,west_glac,0,0
10772,2017-08-01,2017-08-01_east_glac,48.4472,-113.2236,0.0,0.0,88.0,49.0,east_glac,0,0
10773,2017-08-01,2017-08-01_many_glac,48.8,-113.67,0.0,0.0,76.0,51.0,many_glac,0,0
10774,2017-08-01,2017-08-01_st_mary,48.7375,-113.4305,0.0,0.0,76.0,53.0,st_mary,0,0
10775,2017-08-01,2017-08-01_west_glac,48.5002,-113.9847,0.0,0.0,89.0,52.0,west_glac,0,0
10776,2017-08-02,2017-08-02_east_glac,48.4472,-113.2236,0.04,0.0,77.0,49.0,east_glac,1,0
10777,2017-08-02,2017-08-02_many_glac,48.8,-113.67,0.0,0.0,58.0,45.0,many_glac,0,0
10778,2017-08-02,2017-08-02_st_mary,48.7375,-113.4305,0.0,0.0,57.0,44.0,st_mary,0,0
10779,2017-08-02,2017-08-02_west_glac,48.5002,-113.9847,0.0,0.0,88.0,63.0,west_glac,0,0
10780,2017-08-03,2017-08-03_east_glac,48.4472,-113.2236,0.06,0.0,55.0,39.0,east_glac,1,0
10781,2017-08-03,2017-08-03_many_glac,48.8,-113.67,0.0,0.0,82.0,40.0,many_glac,0,0
10782,2017-08-03,2017-08-03_st_mary,48.7375,-113.4305,0.0,0.0,82.0,38.0,st_mary,0,0
10783,2017-08-03,2017-08-03_west_glac,48.5002,-113.9847,0.0,0.0,83.0,52.0,west_glac,0,0
10784,2017-08-04,2017-08-04_east_glac,48.4472,-113.2236,0.03,0.0,80.0,44.0,east_glac,1,0
10785,2017-08-04,2017-08-04_many_glac,48.8,-113.67,0.0,0.0,64.0,51.0,many_glac,0,0
10786,2017-08-04,2017-08-04_st_mary,48.7375,-113.4305,0.0,0.0,63.0,49.0,st_mary,0,0
10787,2017-08-04,2017-08-04_west_glac,48.5002,-113.9847,0.0,0.0,84.0,48.0,west_glac,0,0
10788,2017-08-05,2017-08-05_east_glac,48.4472,-113.2236,0.0,0.0,63.0,45.0,east_glac,0,0
10789,2017-08-05,2017-08-05_many_glac,48.8,-113.67,0.0,0.0,68.0,45.0,many_glac,0,0
10790,2017-08-05,2017-08-05_st_mary,48.7375,-113.4305,0.0,0.0,64.0,42.0,st_mary,0,0
10791,2017-08-05,2017-08-05_west_glac,48.5002,-113.9847,0.04,0.0,77.0,56.0,west_glac,1,0
10792,2017-08-06,2017-08-06_east_glac,48.4472,-113.2236,0.0,0.0,63.0,40.0,east_glac,0,0
10793,2017-08-06,2017-08-06_many_glac,48.8,-113.67,0.0,0.0,76.0,41.0,many_glac,0,0
10794,2017-08-06,2017-08-06_st_mary,48.7375,-113.4305,0.0,0.0,79.0,38.0,st_mary,0,0
10795,2017-08-06,2017-08-06_west_glac,48.5002,-113.9847,0.0,0.0,80.0,49.0,west_glac,0,0
10796,2017-08-07,2017-08-07_east_glac,48.4472,-113.2236,0.0,0.0,75.0,44.0,east_glac,0,0
